Applicant.ID,Position.Name,Employer.Name,City,State.Name,State.Code,Start.Date,End.Date,Job.Description,Salary,Can.Contact.Employer,Created.At,Updated.At
10007,Bar Manager / Head Bartender,Home Restaurant,San Francisco,California,CA,38473,41182,"•	Collaborate with management team on a regular basis to review day-to-day operations and address new issues
•	Manage all bar inventory and ordering, including working one-on-one with sales reps
•	Control cost through regular review of restaurant financials and supervision of staff
•	Assist in hiring and training all new bartenders and bar backs
•	Develop new menu items, signature cocktails and sales promotions",NA,FALSE,2014-12-12 23:01:04 UTC,2014-12-12 23:03:13 UTC
10007,Bartender,15 Romolo,San Francisco,California,CA,40210,40663,"•	Serve luxury cocktails and wines in an intimate lounge setting
•	Increased knowledge of mixing classic and contemporary cocktails
•	Train and supervise assistant bartenders",NA,FALSE,2014-12-12 23:01:04 UTC,2014-12-12 23:03:13 UTC
10008,"non-food stocker, photo",Kroger,Cincinnati,Ohio,OH,,,"stocked non food grocery items, kept aisle neat, did displays, assisted customers, developed photographs,cashier",6.25,FALSE,2014-12-13 00:30:26 UTC,2014-12-13 00:30:26 UTC
10008,Registrar,Mercy Health Physicians,Cincinnati,Ohio,OH,41183,,"incoming call, registration, problem solve, office, clerical work",13.53,TRUE,2014-12-13 00:30:26 UTC,2014-12-13 00:30:26 UTC
10008,Registrar,The Christ Hospital,Cincinnati,Ohio,OH,38991,41148,"registration, EMR, calls, referral, clerical/office work",12.5,TRUE,2014-12-13 00:30:26 UTC,2014-12-13 00:30:26 UTC
10008,cashier/baker,The Cheesecake Factory,Cincinnati,Ohio,OH,38292,38961,"cashier, all take out call in orders, prepared desserts/beverages, customer service",10,TRUE,2014-12-13 00:30:26 UTC,2014-12-13 00:30:26 UTC
10008,cashier/asst.manager,Penn station,Cincinnati,Ohio,OH,36678,38261,"opened/closed store, prepped food, cook, cashier, supervisor",9.5,TRUE,2014-12-13 00:30:26 UTC,2014-12-13 00:30:26 UTC
1001,Sales Associate,Athleta,Santa Monica,California,CA,41456,41275,Assist customers on sales floor and in fitting rooms. Provide a model/example for how our companys product looks on different body types. Restock sales floor/back stock. Create lasting impression on customers,8.75,FALSE,2014-08-15 22:05:47 UTC,2014-08-15 22:05:47 UTC
10011,driver helper,united parcel service,NA,NA,NA,,,,NA,NA,2014-12-13 00:31:01 UTC,2014-12-13 00:31:01 UTC
10011,Cashier,Chicago Zoological Society/Brookfield Zoo,NA,NA,NA,39845,40543,"Greet customers in friendly manner, handled cash in cash register, rotated stock, count inventory, answer phones.",NA,NA,2014-12-13 00:31:01 UTC,2014-12-13 00:31:01 UTC
10011,customer assistant,Chicago Transit Authority,NA,NA,NA,39142,39752,"Assisted customer with passing for daily usage of city El and bus, agitated customers with directions, assisted customers with disabilities on/off train using a ramp, answered phones, daily entry of activity log sheet.",NA,NA,2014-12-13 00:31:01 UTC,2014-12-13 00:31:01 UTC
10016,Host,Noodles and Company ,San Francisco ,California,CA,NA,NA,"My duties there were to seat guest, serve them food, maintain a clean resturant including bathroom, and bussing tables.",NA,TRUE,2014-12-13 06:01:21 UTC,2014-12-13 06:01:21 UTC
10020,IT Technician II,Rome Research Corporation,San Francisco,California,CA,40787,41670,"Performed limited Computer administrative duties dealing with password management and control to allow authorized user access to command, control and monitoring computers.

Assisted distant end users all over the world in troubleshooting issues with their satellite equipment, modems and software. 

Experience working with Ku, Ka, C and X frequency bands

Under supervision implements the Teleport Information Assurance Vulnerability Management (IAMV) processes.

Respond to Information Assurance Vulnerability Alerts (IAVA).

Under supervision will implement software and firmware patches, software upgrades, and configuration changes.

Stayed in Compliance with FCC rules and regulations when operating equipment.

Perform all maintenance, repairs and upgrades to computer equipment in a manner, which shall provide minimal impact on the system while providing satisfactory service during the maintenance, repair or upgrade.

Performed equipment modifications with government approval only.

Operates the Linkway Hub Terminal to include associated Limited IP Suite of equipment to include making Master Station Log entries, monitoring distant end users to ensure that equipment is operating at prescribed parameters and as determined by the Gateway Access Authorization (GAA) and Satellite Access Authorization (SAA).
 
Will take directions verbal or written from the TNC/IP Network Operations Center (IPNOC).

Submits all reports to include After Action Reports (AAR’s) associated with IP Ground Mobile Forces / Joint Node Network (JNN) / Limited IP Suite Missions.

Conducts orientation for other site personnel on computer operational systems to include associated IP equipment and Cisco devices.

Respond to commercial, generator, or UPS failure to restore computer systems and site power.

Perform other related duties as assigned when necessary to accomplish work assignments.

Helped the Tech III's to maintain our Solaris/Unix servers",NA,FALSE,2014-12-13 08:34:32 UTC,2014-12-13 08:36:14 UTC
10020,Information Technology Specialist,U.S. Army,Alexandria,Virginia,VA,38018,40816,"Assisted less experienced technicians in the installation, operation, and maintenance of information processing equipment

Set up equipment for employee use, performing or ensuring proper installation of cables,operating systems, or appropriate software. Upgraded hardware and software when necessary.

Maintained computer networks and related computing environments including computer hardware, systems software, applications software, and all configurations.

Diagnosed and repaired both hardware and software issues which interfere with a computer,printer, or other electronic devices ability to function at peak performance. Referred major hardware, software, or defective products to vendors or technicians for service.

Performed a variety of technical inspections on computers, printers, scanners, peripheral devices, and other electronic devices

Examined work orders and converse with equipment operators to detect equipment problems and to ascertain whether mechanical or human errors contributed to the problems

Helped users with all issues concerning mobile devices

Used Active Directory to add/remove users, computers and to reset passwords

Performed data backups and disaster recovery for users 

Oversaw the daily performance of approximately 300 computer systems

Answered user inquiries regarding computer software or hardware operation to resolve problem

Fabricated CAT 5/6 cable for customers

Imaging computers",NA,FALSE,2014-12-13 08:34:32 UTC,2014-12-13 08:36:14 UTC
10023,Engineering Tech,Avent/Kimberly Clark,Tucson,Arizona,AZ,41518,42004,"•	Writing protocols and reports for new equipment
•	Writing Work Instructions and Job Aids for operation of new equipment
•	Designing, ordering, and assembling new lab workbenches for new process room
•	Value stream mapping for greater production efficiency",14.5,TRUE,2015-02-12 04:01:23 UTC,2015-02-12 04:06:08 UTC
10023,Clerical/Mail Room/Scanning,MOLLEN HEALTH,Scottsdale,Arizona,AZ,40087,41425,"Verification of data from patients, including contacting patients for corrected information.  Contacted insurance companies for coverage verification and used search engines to verify correct mailing addresses, enabling company to bill over 200 clients given up for lost.  Reviewed and verified credit card information, expediting cash flow.",11.5,TRUE,2015-02-12 04:01:23 UTC,2015-02-12 04:06:08 UTC
10023,Residential Designer,COEBILT HOMES,Scottsdale,Arizona,AZ,37622,39599,"Responsible for design, Construction Documents, and permitting for twenty custom homes 
in Yavapai County.  Acquired subdivision permits from various County and State agencies.   
Instrumental in getting Public Report for 50 home subdivision after two years of denials.
Completely reorganized office filing system.",30,TRUE,2015-02-12 04:01:23 UTC,2015-02-12 04:06:08 UTC
10023,Project Architect,ORCUTT/WINSLOW,Phoenix,Arizona,AZ,37043,37621,"Responsible for pre-design through Construction Documents for the Arizona School Facilities 
Board (SFB) Deficiency projects in Mayer, Bagdad and Yuma.  
Instrumental in getting permission from SFB to move elementary school from worn-out temporary structures to new buildings within high school site.",26,FALSE,2015-02-12 04:01:23 UTC,2015-02-12 04:06:08 UTC
10023,Project Architect,ARCHICON LC,Phoenix,Arizona,AZ,36678,37042,"Responsible for design and production of Construction Documents, lease exhibits, and space planning.  
Created dramatic interiors for Apache Honda motorcycle showroom in Mesa, coordinated with mechanical engineers to achieve City of Mesa visual compliance and successfully acquired permits compliant with ADA regulations..",25,TRUE,2015-02-12 04:01:23 UTC,2015-02-12 04:06:08 UTC
10023,Project Manager/Project Architect,RHODES AND ASSOCIATES (dissolved),Phoenix,Arizona,AZ,36434,36677,"Responsible for preparation and production of proposals, construction details, and site 
investigation, coordination of information with suppliers, consultants, and clients. 
Played a leading role in recommendations for the City of Phoenix for the renovations of Symphony Hall.",25,FALSE,2015-02-12 04:01:23 UTC,2015-02-12 04:06:08 UTC
10023,Project manager,LEE HARRIS POMEROY,New York,New York,NY,35947,36464,"Responsible for design and production of Construction Documents, running job meetings, presentations, coordinating work of various disciplines.  Projects included renovation of Swiss Bank Tower and ADA compliance for holding cells in NYC courthouses.
Managed assembly of existing pearwood and granite from large offices into individual conference rooms and open office areas.",23.5,TRUE,2015-02-12 04:01:23 UTC,2015-02-12 04:06:08 UTC
10023,Director of Design/Job Captain/Draftsperson,MASCIONI AND BEHRMANN,New York,New York,NY,31048,35976,"Worked up through a series of promotions from Draftsperson to Director of Design.  Responsible for scheduling, phasing, design, Construction Documents, presentations, punch lists, and contract review.  Completed degree in Architecture while working full-time.
Designed and managed renovation of executive floor with the restrictions of an asbestos-laden ceiling and phasing work around the CFO on site, developing close relationship with clients.",21,TRUE,2015-02-12 04:01:23 UTC,2015-02-12 04:06:08 UTC
10025,NA,Hall County Board of Education,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-13 12:48:32 UTC,2014-12-13 12:48:32 UTC
10027,Legal Processing Clerk,"Weltman, Weinberg & Reis Co., L.P.A.",NA,NA,NA,NA,NA,NA,NA,NA,2014-12-13 13:22:17 UTC,2014-12-13 13:22:17 UTC
10027,,Ohio State School of Cosmetology,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-13 13:22:17 UTC,2014-12-13 13:22:17 UTC
10028,Package Driver,FedEx,Whitehall,Ohio,OH,NA,NA,Deliver Packages,31,FALSE,2014-12-13 13:23:30 UTC,2014-12-13 13:26:07 UTC
1003,Marketing Representative ,"Hengtong Heat-Exchanger Manufactory CO, CLT ","Tianjin City, China",NA,NA,40422,40513,"*	Contacted with over 30 potential customers
*	Communicated with potential customer to identify the appropriate Heat-exchanger
",2.5,FALSE,2014-08-15 22:05:47 UTC,2014-08-15 22:05:47 UTC
10030,Customer service ,Walmart ,Landover ,Maryland,MD,41886,41977,Putting in data entry for customers. Packaging up there things. ,9.25,TRUE,2014-12-13 13:54:35 UTC,2014-12-13 13:54:35 UTC
10030,Security guard ,Local 16,Ust  nw ,District of Columbia,DC,41805,41861,Checking IDs and bags at the front door. Watching people in the lounge making sure everyone is safe. ,16,TRUE,2014-12-13 13:54:35 UTC,2014-12-13 13:54:35 UTC
10030,Security guard ,Ces security ,Sliver spring ,Maryland,MD,40980,41440,Securing the people at the dc convention center also the Gaylord hotel and during events. ,7.55,TRUE,2014-12-13 13:54:35 UTC,2014-12-13 13:54:35 UTC
1004,sales Representative / in store model,Abercrombie & Fitch,Metairie,Louisiana,LA,41030,41196,"I would great every one entering, and leaving the store. Also do cashier, and clean around the store, wile helping customers around.",8,TRUE,2014-08-15 22:05:48 UTC,2014-08-15 22:05:48 UTC
10040,NA,The Massage Advantage,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-13 16:42:57 UTC,2014-12-13 16:42:57 UTC
10043,NA,Orchard Village,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-13 17:18:48 UTC,2014-12-13 17:18:48 UTC
10044,NA,Currently Looking,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-13 17:42:06 UTC,2014-12-13 17:42:06 UTC
1005,none,none,none,NA,NA,NA,NA,none,NA,FALSE,2014-08-15 22:05:48 UTC,2014-08-15 22:05:48 UTC
10052,NA,UA Local 486,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-13 19:37:47 UTC,2014-12-13 19:37:47 UTC
10052,NA,Plumbers and Steamfitters Local Union 486,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-13 19:37:47 UTC,2014-12-13 19:37:47 UTC
10065,Technology generalist,New Universe Food,,,,41852,41943,"Designed product; planned manufacturing schedule and designed manufacturing floor; planned and executed IT integration between software; and maintained and inspected two production sites (United States and South America)

https://selfbalancingfood.com",NA,NA,2014-12-14 02:01:54 UTC,2014-12-14 02:01:54 UTC
10065,Manufacturing Engineering Intern,ITW,Glenview,Illinois,IL,41061,41152,"Evaluated new production processes to maximize space; incorporated two-bin inventory system; organized workflow, boosted productivity for assemblers; and assisted with coordinating the move of assembly lines and fifty machines",NA,NA,2014-12-14 02:01:54 UTC,2014-12-14 02:01:54 UTC
10065,The Science of Networks in Communities,The Science of Networks in Communities,,,,40695,40999,"Collected data from 1000 researchers on educational background; Collected data, Checked for data quality and performed a big data-type network analysis using the “R” analysis tool/programming language",NA,NA,2014-12-14 02:01:54 UTC,2014-12-14 02:01:54 UTC
10065,Product Designer (Student),Procter & Gamble,Cincinnati,Ohio,OH,40787,40908,"Conducted design research interviews, created design framework, and redesigned a plastic applicator for ease of use",NA,NA,2014-12-14 02:01:54 UTC,2014-12-14 02:01:54 UTC
10065,Co-Project Manager,Northwestern Tiny House Project,,,,40603,40908,• Managed this Siemens-sponsored project in building an off-grid house that was displayed at Museum of Science and Industry May 2012,NA,NA,2014-12-14 02:01:54 UTC,2014-12-14 02:01:54 UTC
10068,NA,Nascote Industries,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-14 05:01:59 UTC,2014-12-14 05:01:59 UTC
10079,acctspayable clerk,Tankersley Food Service,Van Buren,Arkansas,AR,33711,39751,"a/p clerk,  receptionist, switchboard, payroll",15.25,FALSE,2014-12-14 17:13:22 UTC,2014-12-14 17:28:39 UTC
10085,cashier,Eureka market,Eureka,California,CA,43651,NA,Checker/stocker,5.5,TRUE,2014-12-15 21:32:58 UTC,2014-12-15 21:32:58 UTC
10092,NA,Self-Employed,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-05 23:33:46 UTC,2015-01-05 23:33:46 UTC
10104,retired,University of Toledo,Toledo,Ohio,OH,NA,NA,NA,NA,NA,2014-12-15 00:08:20 UTC,2014-12-15 00:08:20 UTC
10105,Uh-60 Aircraft Mechanic,US Army,Alexandria,Virginia,VA,39539,,"UH-60 Helicopter Repair, Blackhawk Crew chief for Alpha Company 3/2 Aviation South Korea USAG Humphrey's from 2008-2009

2011-2013 Fort Reily Kansas Crew Chief 

2013-Present- Deployed to Tarin Kowt, FOB",NA,NA,2014-12-15 00:19:18 UTC,2014-12-15 00:19:18 UTC
10105,Sales Manager,Performance Bicycle,Chapel Hill,North Carolina,NC,38808,39568,,NA,NA,2014-12-15 00:19:18 UTC,2014-12-15 00:19:18 UTC
10105,Bank Teller,Washington mutual bank,,,,38353,38748,,NA,NA,2014-12-15 00:19:18 UTC,2014-12-15 00:19:18 UTC
10114,Assitant,MindBloom Preschool,Washington ,District of Columbia,DC,NA,NA,I worked with kids and parents in assiating with drop offs and pick up and after school with learning.,NA,FALSE,2014-12-15 02:43:03 UTC,2014-12-15 02:43:03 UTC
10114,Janitor,Penn State ,Monaca,Pennsylvania,PA,NA,NA,I cleaned buildings and classrooms.,NA,FALSE,2014-12-15 02:43:03 UTC,2014-12-15 02:43:03 UTC
10116,NA,Eyanatia,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-15 06:26:43 UTC,2014-12-15 06:26:43 UTC
10127,Life Administrator,Self,NA,NA,NA,NA,NA,Work hard every waking minute at self actualization and minding my own business.,NA,NA,2014-12-15 13:44:14 UTC,2014-12-15 13:44:14 UTC
10136,NA,"Indian Institute of Engineering Science and Technology, Shibpur",NA,NA,NA,NA,NA,NA,NA,NA,2014-12-15 14:31:28 UTC,2014-12-15 14:31:28 UTC
10136,NA,noT yeT woRkiNg !! iM stiLl stUdYinG !!,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-15 14:31:28 UTC,2014-12-15 14:31:28 UTC
10141,Owner,"GMB Design Solutions, LLC",NA,NA,NA,NA,NA,NA,NA,NA,2014-12-15 14:50:04 UTC,2014-12-15 14:50:04 UTC
10169,Security Guard,National Institutes of Health (NIH),Bethesda,Maryland,MD,39066,41792,"Front desk, x-ray machine and patrol guard. Loading dock guard, cctv monitor room, barrier control. etc",20.71,FALSE,2014-12-15 18:42:15 UTC,2014-12-15 18:59:23 UTC
10176,NA,Avon,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-15 20:20:06 UTC,2014-12-15 20:20:06 UTC
1018,Nurse,Yokohama Rosai Hospital,Yokohama-City in Japan,NA,NA,NA,NA,I have not worked in USA. But I have been a Treasurer for PTA,NA,FALSE,2014-08-15 22:05:48 UTC,2014-08-15 22:05:48 UTC
10193,Principal,traceywilen.com,,,,41334,,"Thought Leadership firm that assists corporations capitalize on the latest workplace trends in diversity, employee development, leadership. Specialty areas: Business, Technology, Woman’s Leadership and Career Development.

Global keynote speaker. Key organizations include: Hilton Hotels Europe/Middle East, AMP Bank Australia, Walmart, Pearson Education, NASA, Quest, J&J, MIT, AVON, Toyota, Avis/Budget, Monsanto, PG&E,The NFL, Warner Brothers, Ancile, Wahine Forum Hawaii, Digital Now, National Association of Women Business Owners (NAWBO), Society for Human Resource Management (SHRM), American Society for Training and Development (ASTD), Chambers of Commerce (Hartford, Idaho, Flagstaff).

Panel moderator in over 26 cities across the US on women leadership initiatives and technology topics. Key organizations include: Deloitte, SAP, Staples, Wyndham, Kaiser Permanente, Walgreens, Chief Learning Officer Media Group, Women MBA International, and Women Leading in Technology, Central Exchange, and Total Immersion.

Panel Expert for corporations, conference and university forums. Key organizations include: Sony Pictures, Frost & Sullivan, Stanford, Organization of Economic Cooperation & Development (OECD) Chief Learning Officer panels (16 panels)

Books: Employed for Life, 21st Century Career trends (2014), Women Lead (2013) a leading book on women careers and leadership that secured 167 TV airings and approximately 4,137,516 viewers in its first week.

Media: Regular media expert on 10-14 shows per month on the topics of career development, job hunting, and technology trends on KBYR (Tech Talk), NPR, Fox news affiliates.",NA,NA,2014-12-16 00:47:04 UTC,2014-12-16 00:47:04 UTC
10193,"Vice President Thought Leadership, Strategy",The Apollo Group,Phoenix,Arizona,AZ,39873,41364,"Served as a key member of the Apollo executive team reporting to the office of the CEO. 
Created and led the Apollo Research Institute, a business unit of 60+ individuals that established Apollo’s brand position as a workforce thought leader, and accelerated customer relationships. Under my leadership the Institute produced over 200 primary research studies, presentations, webinars, articles, white papers and books which secured $34M earned media with a presence in more than 1000 media outlets. 

Utilized personal brand to expand Apollo’s global presence with corporations by delivering over 100 speeches at Industry conferences, Fortune 500 corporations, and HR forums across the US and Europe.

Education speaking engagements included university commencement speeches, college forums, workshops, faculty training and student lectures.",NA,NA,2014-12-16 00:47:04 UTC,2014-12-16 00:47:04 UTC
10193,"Managing Director, Thought Leadership, Strategy",Cisco Systems,San Jose,California,CA,34578,39903,"Served as a key member of the Cisco’s strategy team reporting to the office of the CEO. 

Created and managed the Higher Education Practice to establish Cisco as the technology thought leader and accelerate sales. Utilized personal brand to accelerate Cisco’s brand as an expert leader by developing thought-provoking content on higher education and technology trends.

Served as keynote speaker and thought leader on education trends at global conferences in 6 continents at over 100 universities and education conferences.",NA,NA,2014-12-16 00:47:04 UTC,2014-12-16 00:47:04 UTC
10193,Operations Manager,Hewlett-Packard,Palo Alto,California,CA,34213,34607,Operations Manager at HP responsible for the global procurement strategy for HP’s 60 divisions.,NA,NA,2014-12-16 00:47:04 UTC,2014-12-16 00:47:04 UTC
10193,Operations Executive,Apple Computer,Cupertino,California,CA,32387,34242,Operations Executive at Apple responsible for Apple’s global procurement strategy for display technologies.,NA,NA,2014-12-16 00:47:04 UTC,2014-12-16 00:47:04 UTC
102,Teacher's Assistant,Oshman Family JCC,Palo Alto,California,CA,40695,40725,NA,11,TRUE,2014-08-15 22:03:59 UTC,2014-08-15 22:03:59 UTC
10200,Banker,Citizens Bank,,,,41244,,"•	Assist customers with everyday banking needs.
•	Talk to new customers and help determine what accounts are best for their needs and situation.
•	Assist new and current customers with various loan applications.
•	Open new business and personal accounts. 
•	Help current business owners with all their account needs, including loan applications.
•	Certified Notary.
•	Review customer accounts and let them know if there is a better fit for their current banking to help reduce bank fees on their accounts.",NA,NA,2014-12-16 03:50:54 UTC,2014-12-16 03:50:54 UTC
10200,General Manager,Steak n Shake,"Indianapolis, Indiana 46204",,,40330,41274,"•	Oversee management team to ensure they are completing their tasks properly and in the proper time frame. 
•	Promoted to Restaurant Training Supervisor and Hiring Manager within first 2 months, and then was General Manager after approximately 9 months of employment.
•	Manage the amount of employees on the clock to the amount of revenue coming into the business at every moment to ensure a balance. 
•	Keep track of inventory and supervise the ordering for the restaurant.
•	Create schedules for more than 50 associates, and ensure that it is being completed to business needs. 
•	Maintain contact with all customers that come into the restaurant to ensure satisfaction with their entire experience.
•	Verify and monitor the cash flow within the restaurant. Look over the P&L and ensure the restaurant is staying within its budget. 
•	Trained and developed associates into higher positions to ensure constant satisfaction with employment and help further the company.",NA,NA,2014-12-16 03:50:54 UTC,2014-12-16 03:50:54 UTC
10200,Insurance Agent,Aflac,Columbus,Georgia,GA,39264,40209,"-Went to new businesses to get them to offer AFLAC policies to their associates
-Sat with associates and explained all about our policies, and helped them decide what, if any, policies were best for them and their families.
-Helped customers file any claims they needed to file for their policies
-Signed individuals up for policies that they needed/ wanted.",NA,NA,2014-12-16 03:50:54 UTC,2014-12-16 03:50:54 UTC
10200,Assistant Office Manager,Merry Maids,,,,39083,39294,"•	Created schedule, and assisted with paychecks for 14 employees.
•	Conducted quality control assurance randomly, on at least 4 houses a week.
•	Provided 7 to 10 estimates to potential customers weekly.
•	Directed meetings to ensure the employees knew their responsibilities for the day, and anything pertinent that needed extra attention.
•	Answered multiple phone lines, assisted with hiring of new employees, complaints, filing, secretarial work, and anything else necessary.",NA,NA,2014-12-16 03:50:54 UTC,2014-12-16 03:50:54 UTC
10200,Assistant ICU Technician,Chesapeake Veterinary Referral Services,,,,38565,39082,"•	Assisted ICU Technician with caring for patient’s pre and post operatively.
•	Informed owners of patient’s conditions, and assisted with the discharge of patients by distributing prescribed medications and going over discharge instructions.
•	Informed Doctors of all updates pertaining to patients, assisted in life saving techniques, checked vitals, and all other nursing services the patients needed, among any other duties necessary.",NA,NA,2014-12-16 03:50:54 UTC,2014-12-16 03:50:54 UTC
10200,Office Manager,Clinton Animal Hospital,,,,38108,38595,"•	Managed all inventory count; administered the ordering of all inventory, and payments necessary. 
•	Assisted with all receptionist duties, assisted the doctor with surgeries, as well as examinations. 
•	Checked patients in and out of the clinic, went over discharge instructions, and analyzed all patients in order to keep the doctor updated on all patient progress and status. 
•	Contacted customers at home after appointments to be sure patients were healing correctly, among any other secretarial or nursing services necessary.",NA,NA,2014-12-16 03:50:54 UTC,2014-12-16 03:50:54 UTC
10205,Legal Secretary,Community Legal Services,Phila,Pennsylvania,PA,NA,NA,"Receptionist, filing, typing briefs, etc",NA,FALSE,2014-12-18 04:27:35 UTC,2014-12-18 04:27:35 UTC
10217,NA,Memphis City Schools,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-16 14:11:33 UTC,2014-12-16 14:11:33 UTC
10225,Crew Member,McDonald's Corporation,Oak Brook,NA,NA,41791,,NA,NA,NA,2014-12-16 14:53:27 UTC,2014-12-16 14:53:27 UTC
10225,Volunteer,Grovetown Animal Clinic,,NA,NA,41395,41486,NA,NA,NA,2014-12-16 14:53:27 UTC,2014-12-16 14:53:27 UTC
10230,general labor,BMI,Edgware,NA,NA,NA,NA,NA,NA,NA,2014-12-16 16:46:39 UTC,2014-12-16 16:46:39 UTC
10236,Asset Manager,Colony American Homes,Scottsdale,Arizona,AZ,41426,41820,"P & L accountable for performance of  multimillion dollar portfolio of 3,000+ SFR units  ( 20% of company’s total assets) throughout California
Strategically positioned the portfolio to transition from third party vendor to a fully internalized operation model.
Resolved escalated challenges by working collaboratively with acquisition, construction, leasing, management, legal  and disposition teams.
Created and achieved business plans goals by implementing budgets, team priorities, financial forecasting and marketing strategies.
Recruited, developed and mentored high caliber teams to monitor and report on multiple local markets including macro and micro economic variables and the effect on profitability and performance of the portfolio.",NA,NA,2014-12-16 17:49:20 UTC,2014-12-16 17:49:20 UTC
10236,"Director, Portfolio Operations Retail Properties",Irvine Company,,,,40817,41182,"Accountable for overall operations of 41-center, 8.4 million s. f. portfolio to achieve business plan goals.
Specific responsibility areas include center management, operations, marketing and tenant coordination. 
Oversee all renewal leasing and lease-related transactions (average of 300 transactions, 500,000 square feet/year) with a budget goal of $290 million in net revenue.
Performed key role in the annual business planning process and performance enhancement strategies for portfolio.
Recruited and  held accountable for approx 37 direct reports performing in various functions such as property management, tenant coordination, leasing, marketing and finance.",NA,NA,2014-12-16 17:49:20 UTC,2014-12-16 17:49:20 UTC
10236,Asset Manager / Receiver,"Navajo Holdings, Inc",,,,39539,40847,"Accountable for performance of retail real estate assets, specializing in assets held in family trusts and foreclosed or distressed assets under lender control.
Court appointed Receiver for financially distressed assets.
Recruit professionals to manage short term assignments. Act as Human Resources
Hands on management of assets including over seeing all vendors, accounting, and brokerage services,   with monthly review and reporting to owners and courts.
Advise ownership of market trends and conditions with recommendations of leasing, retention or sale of assets.
Market properties for lease and sale.
Perform lease modifications to maintain occupancies and cash flow.
Perform capital improvements for assets with long term hold strategies.
Accountable for P & L performance of privately held high end retail and office product, (Approx 3 million s. f.), anchored by big box or national NNN tenants for a family trust.
Provided third party asset management on a vendor basis.",NA,NA,2014-12-16 17:49:20 UTC,2014-12-16 17:49:20 UTC
10236,National Director of Asset Management / Sr. Advisor,Sperry Van Ness,Boston,Massachusetts,MA,38231,39568,"P & L accountable department head of operations for asset management and property management division, overseeing approx.12 million s. f. and 15 direct report managers of 3rd party retail, office and industrial product and 15 outsourced property management companies.
Directly negotiated all terms with Big Box and anchor tenants on a national level.
Achieved 100% accuracy on CAM reconciliations as a department with budget variances no greater then 5%.
Procured and maintain property management accounts national wide, increasing overall contracts under management by 20%.
Member of Executive Vital Factor Team spearheading business planning, analyzing and reporting all proposed goals and action steps to move the company forward in reaching annual goals.
Consistently achieved 100% satisfaction survey score from 75% or more clients on client satisfaction surveys. Over the course of employment I maintained an overall client satisfaction survey score of 96.8%.",NA,NA,2014-12-16 17:49:20 UTC,2014-12-16 17:49:20 UTC
